                   Zilog Z80 Instructions sorted by opcode

This should be the complete list of all the opcodes of the Zilog Z80.

If an EDxx instruction is not listed, it should operate as two NOPs.
If a DDxx or FDxx instruction is not listed, it should operate as 
without the DD or FD prefix. 
 * = unofficial.

For corrections, comments, whatever, you can reach me at:
syoung@cs.vu.nl or 101461.16@CompuServe.COM.

00          NOP
5A          LD E,D
5B          LD E,E
5C          LD E,H
5D          LD E,L
5E          LD E,(HL)
5F          LD E,A
60          LD H,B
61          LD H,C
62          LD H,D
63          LD H,E
64          LD H,H
65          LD H,L
66          LD H,(HL)
67          LD H,A
68          LD L,B
69          LD L,C
6A          LD L,D
6B          LD L,E
6C          LD L,H
6D          LD L,L
6E          LD L,(HL)
6F          LD L,A
70          LD (HL),B
71          LD (HL),C
72          LD (HL),D
73          LD (HL),E
74          LD (HL),H
75          LD (HL),L
76          HALT
77          LD (HL),A
78          LD A,B
79          LD A,C
7A          LD A,D
7B          LD A,E
7C          LD A,H
7D          LD A,L
7E          LD A,(HL)
7F          LD A,A
80          ADD A,B
81          ADD A,C
82          ADD A,D
83          ADD A,E
84          ADD A,H
85          ADD A,L
86          ADD A,(HL)
87          ADD A,A
88          ADC A,B
89          ADC A,C
8A          ADC A,D
8B          ADC A,E
8C          ADC A,H
8D          ADC A,L
8E          ADC A,(HL)
8F          ADC A,A
90          SUB B
91          SUB C
92          SUB D
93          SUB E
94          SUB H
95          SUB L
96          SUB (HL)
97          SUB A
98          SBC A,B
99          SBC A,C
9A          SBC A,D
9B          SBC A,E
9C          SBC A,H
9D          SBC A,L
9E          SBC A,(HL)
9F          SBC A,A
A0          AND B
A1          AND C
A2          AND D
A3          AND E
A4          AND H
A5          AND L
A6          AND (HL)
A7          AND A
A8          XOR B
A9          XOR C
AA          XOR D
AB          XOR E
AC          XOR H
AD          XOR L
AE          XOR (HL)
AF          XOR A
B0          OR B
B1          OR C
B2          OR D
B3          OR E
B4          OR H
B5          OR L
B6          OR (HL)
B7          OR A
B8          CP B
B9          CP C
BA          CP D
BB          CP E
BC          CP H
BD          CP L
BE          CP (HL)
BF          CP A
C0          RET NZ
C1          POP BC
C2 n n      JP NZ,nn
C3 n n      JP nn
C4 n n      CALL NZ,nn
C5          PUSH BC
C6 n        ADD A,n
C7          RST 0h
C8          RET Z
C9          RET
CA n n      JP Z,nn
CB00        RLC B
CB01        RLC C
CB02        RLC D
CB03        RLC E
CB04        RLC H
CB05        RLC L
CB06        RLC (HL)
CB07        RLC A
CB08        RRC B
CB09        RRC C
CB0A        RRC D
CB0B        RRC E
CB0C        RRC H
CB0D        RRC L
CB0E        RRC (HL)
CB0F        RRC A
CB10        RL B
CB11        RL C
CB12        RL D
CB13        RL E
CB14        RL H
CB15        RL L
CB16        RL (HL)
CB17        RL A
CB18        RR B
CB19        RR C
CB1A        RR D
CB1B        RR E
CB1C        RR H
CB1D        RR L
CB1E        RR (HL)
CB1F        RR A
CB20        SLA B
CB21        SLA C
CB22        SLA D
CB23        SLA E
CB24        SLA H
CB25        SLA L
CB26        SLA (HL)
CB27        SLA A
CB28        SRA B
CB29        SRA C
CB2A        SRA D
CB2B        SRA E
CB2C        SRA H
CB2D        SRA L
CB2E        SRA (HL)
CB2F        SRA A
CB30        SLL B*
CB31        SLL C*
CB32        SLL D*
CB33        SLL E*
CB34        SLL H*
CB35        SLL L*
CB36        SLL (HL)*
CB37        SLL A*
CB38        SRL B
CB39        SRL C
CB3A        SRL D
CB3B        SRL E
CB3C        SRL H
CB3D        SRL L
CB3E        SRL (HL)
CB3F        SRL A
CB40        BIT 0,B
CB41        BIT 0,C
CB42        BIT 0,D
CB43        BIT 0,E
CB44        BIT 0,H
CB45        BIT 0,L
CB46        BIT 0,(HL)
CB47        BIT 0,A
CB48        BIT 1,B
CB49        BIT 1,C
CB4A        BIT 1,D
CB4B        BIT 1,E
CB4C        BIT 1,H
CB4D        BIT 1,L
CB4E        BIT 1,(HL)
CB4F        BIT 1,A
CB50        BIT 2,B
CB51        BIT 2,C
CB52        BIT 2,D
CB53        BIT 2,E
CB54        BIT 2,H
CB55        BIT 2,L
CB56        BIT 2,(HL)
CB57        BIT 2,A
CB58        BIT 3,B
CB59        BIT 3,C
CB5A        BIT 3,D
CB5B        BIT 3,E
CB5C        BIT 3,H
CB5D        BIT 3,L
CB5E        BIT 3,(HL)
CB5F        BIT 3,A
CB60        BIT 4,B
CB61        BIT 4,C
CB62        BIT 4,D
CB63        BIT 4,E
CB64        BIT 4,H
CB65        BIT 4,L
CB66        BIT 4,(HL)
CB67        BIT 4,A
CB68        BIT 5,B
CB69        BIT 5,C
CB6A        BIT 5,D
CB6B        BIT 5,E
CB6C        BIT 5,H
CB6D        BIT 5,L
CB6E        BIT 5,(HL)
CB6F        BIT 5,A
CB70        BIT 6,B
CB71        BIT 6,C
CB72        BIT 6,D
CB73        BIT 6,E
CB74        BIT 6,H
CB75        BIT 6,L
CB76        BIT 6,(HL)
CB77        BIT 6,A
CB78        BIT 7,B
CB79        BIT 7,C
CB7A        BIT 7,D
CB7B        BIT 7,E
CB7C        BIT 7,H
CB7D        BIT 7,L
CB7E        BIT 7,(HL)
CB7F        BIT 7,A
CB80        RES 0,B
CB81        RES 0,C
CB82        RES 0,D
CB83        RES 0,E
CB84        RES 0,H
CB85        RES 0,L
CB86        RES 0,(HL)
CB87        RES 0,A
CB88        RES 1,B
CB89        RES 1,C
CB8A        RES 1,D
CB8B        RES 1,E
CB8C        RES 1,H
CB8D        RES 1,L
CB8E        RES 1,(HL)
CB8F        RES 1,A
CB90        RES 2,B
CB91        RES 2,C
CB92        RES 2,D
CB93        RES 2,E
CB94        RES 2,H
CB95        RES 2,L
CB96        RES 2,(HL)
CB97        RES 2,A
CB98        RES 3,B
CB99        RES 3,C
CB9A        RES 3,D
CB9B        RES 3,E
CB9C        RES 3,H
CB9D        RES 3,L
CB9E        RES 3,(HL)
CB9F        RES 3,A
CBA0        RES 4,B
CBA1        RES 4,C
CBA2        RES 4,D
CBA3        RES 4,E
CBA4        RES 4,H
CBA5        RES 4,L
CBA6        RES 4,(HL)
CBA7        RES 4,A
CBA8        RES 5,B
CBA9        RES 5,C
CBAA        RES 5,D
CBAB        RES 5,E
CBAC        RES 5,H
CBAD        RES 5,L
CBAE        RES 5,(HL)
CBAF        RES 5,A
CBB0        RES 6,B
CBB1        RES 6,C
CBB2        RES 6,D
CBB3        RES 6,E
CBB4        RES 6,H
CBB5        RES 6,L
CBB6        RES 6,(HL)
CBB7        RES 6,A
CBB8        RES 7,B
CBB9        RES 7,C
CBBA        RES 7,D
CBBB        RES 7,E
CBBC        RES 7,H
CBBD        RES 7,L
CBBE        RES 7,(HL)
CBBF        RES 7,A
CBC0        SET 0,B
CBC1        SET 0,C
CBC2        SET 0,D
CBC3        SET 0,E
CBC4        SET 0,H
CBC5        SET 0,L
CBC6        SET 0,(HL)
CBC7        SET 0,A
CBC8        SET 1,B
CBC9        SET 1,C
CBCA        SET 1,D
CBCB        SET 1,E
CBCC        SET 1,H
CBCD        SET 1,L
CBCE        SET 1,(HL)
CBCF        SET 1,A
CBD0        SET 2,B
CBD1        SET 2,C
CBD2        SET 2,D
CBD3        SET 2,E
CBD4        SET 2,H
CBD5        SET 2,L
CBD6        SET 2,(HL)
CBD7        SET 2,A
CBD8        SET 3,B
CBD9        SET 3,C
CBDA        SET 3,D
CBDB        SET 3,E
CBDC        SET 3,H
CBDD        SET 3,L
CBDE        SET 3,(HL)
CBDF        SET 3,A
CBE0        SET 4,B
CBE1        SET 4,C
CBE2        SET 4,D
CBE3        SET 4,E
CBE4        SET 4,H
CBE5        SET 4,L
CBE6        SET 4,(HL)
CBE7        SET 4,A
CBE8        SET 5,B
CBE9        SET 5,C
CBEA        SET 5,D
CBEB        SET 5,E
CBEC        SET 5,H
CBED        SET 5,L
CBEE        SET 5,(HL)
CBEF        SET 5,A
CBF0        SET 6,B
CBF1        SET 6,C
CBF2        SET 6,D
CBF3        SET 6,E
CBF4        SET 6,H
CBF5        SET 6,L
CBF6        SET 6,(HL)
CBF7        SET 6,A
CBF8        SET 7,B
CBF9        SET 7,C
CBFA        SET 7,D
CBFB        SET 7,E
CBFC        SET 7,H
CBFD        SET 7,L
CBFE        SET 7,(HL)
CBFF        SET 7,A
CC n n      CALL Z,nn
CD n n      CALL nn
CE n        ADC A,n
CF          RST 8h
D0          RET NC
D1          POP DE
D2 n n      JP NC,nn
D3 n        OUT (n),A
D4 n n      CALL NC,nn
D5          PUSH DE
D6 n        SUB n
D7          RST 10h
D8          RETC
D9          EXX
DA n n      JP C,nn
DB n        IN A,(n)
DC n n      CALL C,nn
DD09        ADD IX,BC
DD19        ADD IX,DE
DD21 n n    LD IX,nn
DD22 n n    LD (nn),IX
DD23        INC IX
DD24        INC IXH*
DD25        DEC IXH*
DD26 n      LD IXH,n*
DD29        ADD IX,IX
DD2A n n    LD IX,(nn)
DD2B        DEC IX
DD2C        INC IXL*
DD2D        DEC IXL*
DD2E n      LD IXL,n*
DD34 d      INC (IX+d)
DD35 d      DEC (IX+d)
DD36 d n    LD (IX+d),n
DD39        ADD IX,SP
DD44        LD B,IXH*
DD45        LD B,IXL*
DD46 d      LD B,(IX+d)
DD4C        LD C,IXH*
DD4D        LD C,IXL*
DD4E d      LD C,(IX+d)
DD54        LD D,IXH*
DD55        LD D,IXL*
DD56 d      LD D,(IX+d)
DD5C        LD E,IXH*
DD5D        LD E,IXL*
DD5E d      LD E,(IX+d)
DD60        LD IXH,B*
DD61        LD IXH,C*
DD62        LD IXH,D*
DD63        LD IXH,E*
DD64        LD IXH,IXH*
DD65        LD IXH,IXL*
DD66 d      LD H,(IX+d)
DD67        LD IXH,A*
DD68        LD IXL,B*
DD69        LD IXL,C*
DD6A        LD IXL,D*
DD6B        LD IXL,E*
DD6C        LD IXL,IXH*
DD6D        LD IXL,IXL*
DD6E d      LD L,(IX+d)
DD6F        LD IXL,A*
DD70 d      LD (IX+d),B
DD71 d      LD (IX+d),C
DD72 d      LD (IX+d),D
DD73 d      LD (IX+d),E
DD74 d      LD (IX+d),H
DD75 d      LD (IX+d),L
DD77 d      LD (IX+d),A
DD7C        LD A,IXH*
DD7D        LD A,IXL*
DD7E d      LD A,(IX+d)
DD84        ADD A,IXH*
DD85        ADD A,IXL*
DD86 d      ADD A,(IX+d)
DD8C        ADC A,IXH*
DD8D        ADC A,IXL*
DD8E d      ADC A,(IX+d)
DD94        SUB IXH*
DD95        SUB IXL*
DD96 d      SUB (IX+d)
DD9C        SBC A,IXH*
DD9D        SBC A,IXL*
DD9E d      SBC A,(IX+d)
DDA4        AND IXH*
DDA5        AND IXL*
DDA6 d      AND (IX+d)
DDAC        XOR IXH*
DDAD        XOR IXL*
DDAE d      XOR (IX+d)
DDB4        OR IXH*
DDB5        OR IXL*
DDB6 d      OR (IX+d)
DDBC        CP IXH*
DDBD        CP IXL*
DDBE d      CP (IX+d)
DDCB d 00   B = RLC (IX+d)*
DDCB d 01   C = RLC (IX+d)*
DDCB d 02   D = RLC (IX+d)*
DDCB d 03   E = RLC (IX+d)*
DDCB d 04   H = RLC (IX+d)*
DDCB d 05   L = RLC (IX+d)*
DDCB d 06   RLC (IX+d)
DDCB d 07   A = RLC (IX+d)*
DDCB d 08   B = RRC (IX+d)*
DDCB d 09   C = RRC (IX+d)*
DDCB d 0A   D = RRC (IX+d)*
DDCB d 0B   E = RRC (IX+d)*
DDCB d 0C   H = RRC (IX+d)*
DDCB d 0D   L = RRC (IX+d)*
DDCB d 0E   RRC (IX+d)
DDCB d 0F   A = RRC (IX+d)*
DDCB d 10   B = RL (IX+d)*
DDCB d 11   C = RL (IX+d)*
DDCB d 12   D = RL (IX+d)*
DDCB d 13   E = RL (IX+d)*
DDCB d 14   H = RL (IX+d)*
DDCB d 15   L = RL (IX+d)*
DDCB d 16   RL (IX+d)
DDCB d 17   A = RL (IX+d)*
DDCB d 18   B = RR (IX+d)*
DDCB d 19   C = RR (IX+d)*
DDCB d 1A   D = RR (IX+d)*
DDCB d 1B   E = RR (IX+d)*
DDCB d 1C   H = RR (IX+d)*
DDCB d 1D   L = RR (IX+d)*
DDCB d 1E   RR (IX+d)
DDCB d 1F   A = RR (IX+d)*
DDCB d 20   B = SLA (IX+d)*
DDCB d 21   C = SLA (IX+d)*
DDCB d 22   D = SLA (IX+d)*
DDCB d 23   E = SLA (IX+d)*
DDCB d 24   H = SLA (IX+d)*
DDCB d 25   L = SLA (IX+d)*
DDCB d 26   SLA (IX+d)
DDCB d 27   A = SLA (IX+d)*
DDCB d 28   B = SRA (IX+d)*
DDCB d 29   C = SRA (IX+d)*
DDCB d 2A   D = SRA (IX+d)*
DDCB d 2B   E = SRA (IX+d)*
DDCB d 2C   H = SRA (IX+d)*
DDCB d 2D   L = SRA (IX+d)*
DDCB d 2E   SRA (IX+d)
DDCB d 2F   A = SRA (IX+d)*
DDCB d 30   B = SLL (IX+d)*
DDCB d 31   C = SLL (IX+d)*
DDCB d 32   D = SLL (IX+d)*
DDCB d 33   E = SLL (IX+d)*
DDCB d 34   H = SLL (IX+d)*
DDCB d 35   L = SLL (IX+d)*
DDCB d 36   SLL (IX+d)*
DDCB d 37   A = SLL (IX+d)*
DDCB d 38   B = SRL (IX+d)*
DDCB d 39   C = SRL (IX+d)*
DDCB d 3A   D = SRL (IX+d)*
DDCB d 3B   E = SRL (IX+d)*
DDCB d 3C   H = SRL (IX+d)*
DDCB d 3D   L = SRL (IX+d)*
DDCB d 3E   SRL (IX+d)
DDCB d 3F   A = SRL (IX+d)*
DDCB d 40   BIT 0,(IX+d)*
DDCB d 41   BIT 0,(IX+d)*
DDCB d 42   BIT 0,(IX+d)*
DDCB d 43   BIT 0,(IX+d)*
DDCB d 44   BIT 0,(IX+d)*
DDCB d 45   BIT 0,(IX+d)*
DDCB d 46   BIT 0,(IX+d)
DDCB d 47   BIT 0,(IX+d)*
DDCB d 48   BIT 1,(IX+d)*
DDCB d 49   BIT 1,(IX+d)*
DDCB d 4A   BIT 1,(IX+d)*
DDCB d 4B   BIT 1,(IX+d)*
DDCB d 4C   BIT 1,(IX+d)*
DDCB d 4D   BIT 1,(IX+d)*
DDCB d 4E   BIT 1,(IX+d)
DDCB d 4F   BIT 1,(IX+d)*
DDCB d 50   BIT 2,(IX+d)*
DDCB d 51   BIT 2,(IX+d)*
DDCB d 52   BIT 2,(IX+d)*
DDCB d 53   BIT 2,(IX+d)*
DDCB d 54   BIT 2,(IX+d)*
DDCB d 55   BIT 2,(IX+d)*
DDCB d 56   BIT 2,(IX+d)
DDCB d 57   BIT 2,(IX+d)*
DDCB d 58   BIT 3,(IX+d)*
DDCB d 59   BIT 3,(IX+d)*
DDCB d 5A   BIT 3,(IX+d)*
DDCB d 5B   BIT 3,(IX+d)*
DDCB d 5C   BIT 3,(IX+d)*
DDCB d 5D   BIT 3,(IX+d)*
DDCB d 5E   BIT 3,(IX+d)
DDCB d 5F   BIT 3,(IX+d)*
DDCB d 60   BIT 4,(IX+d)*
DDCB d 61   BIT 4,(IX+d)*
DDCB d 62   BIT 4,(IX+d)*
DDCB d 63   BIT 4,(IX+d)*
DDCB d 64   BIT 4,(IX+d)*
DDCB d 65   BIT 4,(IX+d)*
DDCB d 66   BIT 4,(IX+d)
DDCB d 67   BIT 4,(IX+d)*
DDCB d 68   BIT 5,(IX+d)*
DDCB d 69   BIT 5,(IX+d)*
DDCB d 6A   BIT 5,(IX+d)*
DDCB d 6B   BIT 5,(IX+d)*
DDCB d 6C   BIT 5,(IX+d)*
DDCB d 6D   BIT 5,(IX+d)*
DDCB d 6E   BIT 5,(IX+d)
DDCB d 6F   BIT 5,(IX+d)*
DDCB d 70   BIT 6,(IX+d)*
DDCB d 71   BIT 6,(IX+d)*
DDCB d 72   BIT 6,(IX+d)*
DDCB d 73   BIT 6,(IX+d)*
DDCB d 74   BIT 6,(IX+d)*
DDCB d 75   BIT 6,(IX+d)*
DDCB d 76   BIT 6,(IX+d)
DDCB d 77   BIT 6,(IX+d)*
DDCB d 78   BIT 7,(IX+d)*
DDCB d 79   BIT 7,(IX+d)*
DDCB d 7A   BIT 7,(IX+d)*
DDCB d 7B   BIT 7,(IX+d)*
DDCB d 7C   BIT 7,(IX+d)*
DDCB d 7D   BIT 7,(IX+d)*
DDCB d 7E   BIT 7,(IX+d)
DDCB d 7F   BIT 7,(IX+d)*
DDCB d 80   B = RES 0,(IX+d)*
DDCB d 81   C = RES 0,(IX+d)*
DDCB d 82   D = RES 0,(IX+d)*
DDCB d 83   E = RES 0,(IX+d)*
DDCB d 84   H = RES 0,(IX+d)*
DDCB d 85   L = RES 0,(IX+d)*
DDCB d 86   RES 0,(IX+d)
DDCB d 87   A = RES 0,(IX+d)*
DDCB d 88   B = RES 1,(IX+d)*
DDCB d 89   C = RES 1,(IX+d)*
DDCB d 8A   D = RES 1,(IX+d)*
DDCB d 8B   E = RES 1,(IX+d)*
DDCB d 8C   H = RES 1,(IX+d)*
DDCB d 8D   L = RES 1,(IX+d)*
DDCB d 8E   RES 1,(IX+d)
DDCB d 8F   A = RES 1,(IX+d)*
DDCB d 90   B = RES 2,(IX+d)*
DDCB d 91   C = RES 2,(IX+d)*
DDCB d 92   D = RES 2,(IX+d)*
DDCB d 93   E = RES 2,(IX+d)*
DDCB d 94   H = RES 2,(IX+d)*
DDCB d 95   L = RES 2,(IX+d)*
DDCB d 96   RES 2,(IX+d)
DDCB d 97   A = RES 2,(IX+d)*
DDCB d 98   B = RES 3,(IX+d)*
DDCB d 99   C = RES 3,(IX+d)*
DDCB d 9A   D = RES 3,(IX+d)*
DDCB d 9B   E = RES 3,(IX+d)*
DDCB d 9C   H = RES 3,(IX+d)*
DDCB d 9D   L = RES 3,(IX+d)*
DDCB d 9E   RES 3,(IX+d)
DDCB d 9F   A = RES 3,(IX+d)*
DDCB d A0   B = RES 4,(IX+d)*
DDCB d A1   C = RES 4,(IX+d)*
DDCB d A2   D = RES 4,(IX+d)*
DDCB d A3   E = RES 4,(IX+d)*
DDCB d A4   H = RES 4,(IX+d)*
DDCB d A5   L = RES 4,(IX+d)*
DDCB d A6   RES 4,(IX+d)
DDCB d A7   A = RES 4,(IX+d)*
DDCB d A8   B = RES 5,(IX+d)*
DDCB d A9   C = RES 5,(IX+d)*
DDCB d AA   D = RES 5,(IX+d)*
DDCB d AB   E = RES 5,(IX+d)*
DDCB d AC   H = RES 5,(IX+d)*
DDCB d AD   L = RES 5,(IX+d)*
DDCB d AE   RES 5,(IX+d)
DDCB d AF   A = RES 5,(IX+d)*
DDCB d B0   B = RES 6,(IX+d)*
DDCB d B1   C = RES 6,(IX+d)*
DDCB d B2   D = RES 6,(IX+d)*
DDCB d B3   E = RES 6,(IX+d)*
DDCB d B4   H = RES 6,(IX+d)*
DDCB d B5   L = RES 6,(IX+d)*
DDCB d B6   RES 6,(IX+d)
DDCB d B7   A = RES 6,(IX+d)*
DDCB d B8   B = RES 7,(IX+d)*
DDCB d B9   C = RES 7,(IX+d)*
DDCB d BA   D = RES 7,(IX+d)*
DDCB d BB   E = RES 7,(IX+d)*
DDCB d BC   H = RES 7,(IX+d)*
DDCB d BD   L = RES 7,(IX+d)*
DDCB d BE   RES 7,(IX+d)
DDCB d BF   A = RES 7,(IX+d)*
DDCB d C0   B = SET 0,(IX+d)*
DDCB d C1   C = SET 0,(IX+d)*
DDCB d C2   D = SET 0,(IX+d)*
DDCB d C3   E = SET 0,(IX+d)*
DDCB d C4   H = SET 0,(IX+d)*
DDCB d C5   L = SET 0,(IX+d)*
DDCB d C6   SET 0,(IX+d)
DDCB d C7   A = SET 0,(IX+d)*
DDCB d C8   B = SET 1,(IX+d)*
DDCB d C9   C = SET 1,(IX+d)*
DDCB d CA   D = SET 1,(IX+d)*
DDCB d CB   E = SET 1,(IX+d)*
DDCB d CC   H = SET 1,(IX+d)*
DDCB d CD   L = SET 1,(IX+d)*
DDCB d CE   SET 1,(IX+d)
DDCB d CF   A = SET 1,(IX+d)*
DDCB d D0   B = SET 2,(IX+d)*
DDCB d D1   C = SET 2,(IX+d)*
DDCB d D2   D = SET 2,(IX+d)*
DDCB d D3   E = SET 2,(IX+d)*
DDCB d D4   H = SET 2,(IX+d)*
DDCB d D5   L = SET 2,(IX+d)*
DDCB d D6   SET 2,(IX+d)
DDCB d D7   A = SET 2,(IX+d)*
DDCB d D8   B = SET 3,(IX+d)*
DDCB d D9   C = SET 3,(IX+d)*
DDCB d DA   D = SET 3,(IX+d)*
DDCB d DB   E = SET 3,(IX+d)*
DDCB d DC   H = SET 3,(IX+d)*
DDCB d DD   L = SET 3,(IX+d)*
DDCB d DE   SET 3,(IX+d)
DDCB d DF   A = SET 3,(IX+d)*
DDCB d E0   B = SET 4,(IX+d)*
DDCB d E1   C = SET 4,(IX+d)*
DDCB d E2   D = SET 4,(IX+d)*
DDCB d E3   E = SET 4,(IX+d)*
DDCB d E4   H = SET 4,(IX+d)*
DDCB d E5   L = SET 4,(IX+d)*
DDCB d E6   SET 4,(IX+d)
DDCB d E7   A = SET 4,(IX+d)*
DDCB d E8   B = SET 5,(IX+d)*
DDCB d E9   C = SET 5,(IX+d)*
DDCB d EA   D = SET 5,(IX+d)*
DDCB d EB   E = SET 5,(IX+d)*
DDCB d EC   H = SET 5,(IX+d)*
DDCB d ED   L = SET 5,(IX+d)*
DDCB d EE   SET 5,(IX+d)
DDCB d EF   A = SET 5,(IX+d)*
DDCB d F0   B = SET 6,(IX+d)*
DDCB d F1   C = SET 6,(IX+d)*
DDCB d F2   D = SET 6,(IX+d)*
DDCB d F3   E = SET 6,(IX+d)*
DDCB d F4   H = SET 6,(IX+d)*
DDCB d F5   L = SET 6,(IX+d)*
DDCB d F6   SET 6,(IX+d)
DDCB d F7   A = SET 6,(IX+d)*
DDCB d F8   B = SET 7,(IX+d)*
DDCB d F9   C = SET 7,(IX+d)*
DDCB d FA   D = SET 7,(IX+d)*
DDCB d FB   E = SET 7,(IX+d)*
DDCB d FC   H = SET 7,(IX+d)*
DDCB d FD   L = SET 7,(IX+d)*
DDCB d FE   SET 7,(IX+d)
DDCB d FF   A = SET 7,(IX+d)*
DDE1        POP IX
DDE3        EX (SP),IX
DDE5        PUSH IX
DDE9        JP IX
DDF9        LD SP,IX
DE n        SBC A,n
DF          RST 18h
E0          RET PO
E1          POP HL
E2 n n      JP PO,nn
E3          EX (SP),HL
E4 n n      CALL PO,nn
E5          PUSH HL
E6 n        AND n
E7          RST 20h
E8          RET PE
E9          JP HL
EA n n      JP PE,nn
EB          EX DE,HL
EC n n      CALL PE,nn
ED40        IN B,(C)
ED41        OUT (C),B
ED42        SBC HL,BC
ED43 n n    LD (nn),BC
ED44        NEG
ED45        RETN
ED46        IM 0
ED47        LD I,A
ED48        IN C,(C)
ED49        OUT (C),C
ED4A        ADC HL,BC
ED4B n n    LD BC,(nn)
ED4C        NEG*
ED4D        RETI
ED4E        IM 0/1*
ED4F        LD R,A
ED50        IN D,(C)
ED51        OUT (C),D
ED52        SBC HL,DE
ED53 n n    LD (nn),DE
ED54        NEG*
ED55        RETI/N*
ED56        IM 1
ED57        LD A,I
ED58        IN E,(C)
ED59        OUT (C),E
ED5A        ADC HL,DE
ED5B n n    LD DE,(nn)
ED5C        NEG*
ED5D        RETI/N*
ED5E        IM 2
ED5F        LD A,R
ED60        IN H,(C)
ED61        OUT (C),H
ED62        SBC HL,HL
ED63 n n    LD (nn),HL
ED64        NEG*
ED65        RETI/N*
ED66        IM 0*
ED67        RRD
ED68        IN L,(C)
ED69        OUT (C),L
ED6A        ADC HL,HL
ED6B n n    LD HL,(nn)
ED6C        NEG*
ED6D        RETI/N*
ED6E        IM 0/1*
ED6F        RLD
ED70        IN (C)* / IN F,(C)*
ED71        OUT (C),0*
ED72        SBC HL,SP
ED73 n n    LD (nn),SP 
ED74        NEG*
ED75        RETI/N*
ED76        IM 1*
ED78        IN A,(C)
ED79        OUT (C),A
ED7A        ADC HL,SP
ED7B n n    LD SP,(nn)
ED7C        NEG*
ED7D        RETI/N*
ED7E        IM 2*
EDA0        LDI
EDA1        CPI
EDA2        INI
EDA3        OUTI
EDA8        LDD
EDA9        CPD
EDAA        IND
EDAB        OUTD
EDB0        LDIR
EDB1        CPIR
EDB2        INIR
EDB3        OTIR
EDB8        LDDR
EDB9        CPDR
EDBA        INDR
EDBB        OTDR
EE n        XOR n
EF          RST 28h
F0          RET P
F1          POP AF
F2 n n      JP P,nn
F3          DI
F4 n n      CALL P,nn
F5          PUSH AF
F6 n        OR n
F7          RST 30h
F8          RET M
F9          LD SP,HL
FA n n      JP M,nn
FB          EI
FC n n      CALL M,nn
FD09        ADD IY,BC
FD19        ADD IY,DE
FD21 n n    LD IY,nn
FD22 n n    LD (nn),IY
FD23        INC IY
FD24        INC IYH*
FD25        DEC IYH*
FD26 n      LD IYH,n*
FD29        ADD IY,IY
FD2A n n    LD IY,(nn)
FD2B        DEC IY
FD2C        INC IYL*
FD2D        DEC IYL*
FD2E n      LD IYL,n*
FD34 d      INC (IY+d)
FD35 d      DEC (IY+d)
FD36 d n    LD (IY+d),n
FD39        ADD IY,SP
FD44        LD B,IYH*
FD45        LD B,IYL*
FD46 d      LD B,(IY+d)
FD4C        LD C,IYH*
FD4D        LD C,IYL*
FD4E d      LD C,(IY+d)
FD54        LD D,IYH*
FD55        LD D,IYL*
FD56 d      LD D,(IY+d)
FD5C        LD E,IYH*
FD5D        LD E,IYL*
FD5E d      LD E,(IY+d)
FD60        LD IYH,B*
FD61        LD IYH,C*
FD62        LD IYH,D*
FD63        LD IYH,E*
FD64        LD IYH,IYH*
FD65        LD IYH,IYL*
FD66 d      LD H,(IY+d)
FD67        LD IYH,A*
FD68        LD IYL,B*
FD69        LD IYL,C*
